Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
12.7,120,5,0.43,0.28,0.75,0.024,1.13,0.23,0.2,0.028,0.004,850,1,610,20,75
12.5,160,4,0.42,0.29,0.73,0.024,1.11,0.2,0.22,0.03,0.004,860,3,630,20,95.3333
25.4,210,3,0.42,0.21,0.93,0.006,1.05,0.24,0.15,0.021,0.004,870,3,710,-32,80.6667
18.75,75,6,0.2,0.2,0.84,0.01,0.23,0.07,0.22,0.026,0.003,880,2,620,-46,98.6667
25.4,222.25,3,0.41,0.25,0.95,0.02,1.18,0.32,0.17,0.02,0.005,870,3,705,23,133.3333
12.7,210,3,0.365,0.32,0.63,0.026,1.41,0.2,1.41,0.038,0.005,860,1,570,20,53
25.4,107.95,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,860,3,710,-32,68
12.7,115,5,0.41,0.29,0.56,0.01,1.16,0.26,1.41,0.035,0.005,850,3,660,20,117
12.7,130,3,0.26,0.19,0.76,0.026,1.08,0.17,0.2,0.027,0.003,850,3,620,20,179.3333
12.5,165,3,0.325,0.23,0.54,0.002,1.07,0.24,0.15,0.028,0.005,870,3,660,-32,61.011
12.5,50,6,0.41,0.24,0.71,0.004,0.84,0.25,1.71,0.023,0.002,820,2,495,20,40.6667
12.5,230,4,0.42,0.29,0.76,0.003,1.11,0.22,0.2,0.028,0.005,850,3,630,20,93.3333
25.4,88.9,3,0.41,0.25,0.96,0.015,1.04,0.24,0.21,0.028,0.005,860,3,705,-32,129.3333
25.4,101.6,2,0.42,0.24,0.96,0.018,1,0.23,0.22,0.024,0.004,860,3,680,-32,86.6667
12.5,50,6,0.39,0.32,0.69,0.002,0.8,0.26,1.8,0.03,0.004,820,2,490,20,34
25.4,107.95,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,860,3,710,-32,68
12.5,16,6,0.16,0.17,0.99,0.002,1.49,0.98,0.07,0.022,0.26,975,2,620,20,154.6667
12.7,224,3,0.34,0.35,0.69,0.028,1.45,0.21,1.38,0.023,0.006,860,1,570,20,83.3333
12.7,173,3,0.43,0.21,0.8,0.036,1.02,0.18,0.23,0.029,0.005,850,3,660,20,110
12.5,255,3,0.41,0.25,0.77,0.001,1.05,0.2,0.25,0.035,0.005,860,3,660,20,120
12.7,280,3,0.32,0.25,0.54,0.002,1.09,0.23,0.18,0.026,0.005,870,3,650,-32,72.309
19.5,117,6,0.305,0.25,1.7,0.021,0.16,0.03,0.1,0.021,0.065,870,3,640,-20,141.3333
25.4,228.6,3,0.41,0.26,0.99,0.015,1.1,0.32,0.14,0.024,0.005,870,3,700,-32,62.3333
25.4,222.25,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,860,3,700,23,137.6667
12.5,170,4,0.42,0.29,0.78,0.024,1.13,0.2,0.2,0.024,0.005,860,3,640,20,98.9333
12.5,255,4,0.42,0.23,0.8,0.001,1.09,0.2,0.25,0.025,0.005,860,3,650,20,108.3333
19.5,117,6,0.245,0.35,1.26,0.008,1.28,0.3,0.69,0.035,0.006,880,3,620,-20,123.6667
12.7,280,3,0.325,0.24,0.52,0.006,1.07,0.23,0.22,0.026,0.005,870,3,660,-32,39.3333
25.4,95.25,3,0.42,0.24,0.95,0.018,1.09,0.24,0.18,0.025,0.005,860,3,705,-32,83.6667
12.7,150,5,0.42,0.28,0.56,0.034,1.19,0.27,1.35,0.035,0.004,850,1,650,-20,84.6667
12.5,220,4,0.4,0.24,0.85,0.02,1.1,0.24,0.2,0.031,0.005,860,3,640,20,106
44.45,88.9,3,0.42,0.25,0.95,0.003,1.04,0.24,0.24,0.031,0.005,870,3,705,-32,99.4257
25.4,127,3,0.43,0.27,0.93,0.022,1.08,0.24,0.23,0.022,0.004,860,3,705,-32,86
12.7,180,3,0.32,0.22,0.56,0.02,1.06,0.23,0.17,0.023,0.005,870,3,660,-32,64.1747
12.7,130,3,0.41,0.22,0.58,0.024,1.2,0.26,1.43,0.022,0.006,850,2,620,20,100
12.5,300,4,0.42,0.27,0.79,0.024,1.12,0.23,0.29,0.028,0.005,860,3,650,20,89.3333
12.5,107.95,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,870,3,695,-45,103.945
12.5,50,6,0.395,0.25,0.72,0.003,0.83,0.24,1.91,0.029,0.002,820,2,500,20,45
19.5,117,6,0.23,0.31,1.32,0.012,1.35,0.33,0.71,0.028,0.005,880,3,620,-20,153
25.4,95.25,3,0.42,0.22,0.91,0.003,1.04,0.24,0.19,0.024,0.005,860,3,708,-32,85.3333
25.4,220,4,0.45,0.23,1.1,0.02,1.12,0.31,0.24,0.022,0.005,870,3,610,20,80
25.4,88.9,3,0.42,0.24,0.95,0.022,1.08,0.24,0.22,0.023,0.005,860,3,700,-32,124.6667
12.7,280,3,0.32,0.21,0.54,0.006,1.02,0.23,0.18,0.027,0.004,870,3,650,-32,81.8
12.5,110,3,0.34,0.23,0.7,0.029,1.4,0.16,1.4,0.032,0.004,850,2,570,-20,51.3333
12.5,230,4,0.41,0.26,0.79,0.025,1.14,0.22,0.25,0.025,0.004,860,3,650,20,109
12.5,330,3,0.43,0.3,0.75,0.025,1.11,0.21,0.2,0.032,0.005,860,3,660,20,88
25.4,88.9,3,0.42,0.22,0.94,0.005,1.06,0.24,0.18,0.028,0.004,860,3,710,-32,100
19.5,117,6,0.295,0.28,1.71,0.018,0.19,0.03,0.15,0.02,0.06,870,3,640,-20,122
12.5,150,6,0.42,0.29,0.73,0.024,1.11,0.2,0.22,0.03,0.004,840,3,650,20,91
12.5,280,3,0.42,0.24,0.94,0.018,1.16,0.23,0.16,0.02,0.005,870,3,700,-32,96
25.4,254,3,0.41,0.27,0.95,0.017,1.14,0.33,0.16,0.024,0.005,870,3,700,-32,55.6667
12.5,150,4,0.42,0.24,0.76,0.022,1.18,0.25,0.2,0.032,0.004,860,3,630,20,116.3333
19.5,117,6,0.305,0.27,1.75,0.017,0.17,0.03,0.1,0.022,0.052,870,3,640,-20,61.3333
10,20,6,0.335,0.26,0.71,0.005,1.07,0.2,0.16,0.026,0.005,900,2,620,-45,84.2667
12.7,280,3,0.42,0.28,0.76,0.024,1.09,0.2,0.24,0.036,0.005,860,3,660,20,90.6667
12.5,305,3,0.31,0.21,0.54,0.004,1.05,0.24,0.19,0.032,0.005,870,3,660,-32,55.1357
12.5,180,3,0.355,0.29,0.59,0.024,1.54,0.18,1.45,0.034,0.004,860,2,620,-20,101.3333
19.5,117,6,0.24,0.3,1.27,0.01,1.3,0.31,0.71,0.028,0.004,880,3,620,-20,141.3333
69.85,139.7,4,0.42,0.2,0.93,0.012,1.04,0.23,0.22,0.032,0.005,870,3,550,-32,35.7027
12.5,101.6,6,0.315,0.28,0.56,0.003,1.05,0.25,0.2,0.029,0.004,900,3,660,-32,92.646
12.5,230,4,0.43,0.25,0.8,0.023,1.08,0.2,0.22,0.026,0.006,860,3,640,20,93
25.4,190.5,3,0.41,0.27,0.95,0.017,1.14,0.33,0.16,0.024,0.005,870,3,710,23,142.3333
25.4,107.95,3,0.42,0.22,0.92,0.017,1.05,0.24,0.14,0.024,0.005,860,3,700,-32,69.6667
12.5,150,6,0.42,0.31,0.75,0.026,1.11,0.21,0.22,0.028,0.005,840,3,650,20,98
8,16,6,0.145,0.27,0.45,0.002,0.98,0.23,3.29,0.02,0.003,825,2,190,20,132
25.4,127,3,0.47,0.22,1.04,0.016,1.09,0.33,0.24,0.023,0.006,870,3,610,23,66.6667
12.7,100,6,0.43,0.25,0.77,0.026,1,0.05,0.17,0.025,0.006,840,3,630,23,94.6667
25.4,88.9,3,0.42,0.24,0.92,0.007,1.07,0.23,0.19,0.023,0.004,860,3,705,-32,117.6667
25.4,247.65,3,0.41,0.27,0.95,0.017,1.14,0.33,0.16,0.024,0.005,870,3,700,23,133.3333
5.5,11,6,0.345,0.24,0.49,0.02,1.69,0.28,3.77,0.024,0.006,880,1,550,20,43.3333
12.5,190,3,0.245,0.24,0.55,0.002,3.21,0.54,0.24,0.026,0.01,900,2,610,20,152.6667
12.5,210,3,0.42,0.24,0.76,0.009,1.05,0.18,0.19,0.022,0.006,870,3,580,-20,4
25.4,127,3,0.41,0.25,0.94,0.006,1.05,0.24,0.22,0.028,0.003,860,3,705,-32,54
31.75,127,3,0.28,0.34,0.83,0.029,1.02,0.16,0.06,0.021,0.001,870,3,635,-59,49.2607
25.4,190.5,3,0.42,0.26,0.95,0.02,1.14,0.31,0.18,0.029,0.006,860,3,710,23,141.6667
12.5,150,6,0.22,0.22,1.52,0.003,0.16,0.07,0.12,0.032,0.004,880,3,620,-20,200.6667
25.4,76.2,3,0.42,0.25,0.92,0.018,1.04,0.24,0.17,0.023,0.005,860,3,710,-32,109.6667
12.5,190,4,0.42,0.27,0.79,0.024,1.12,0.23,0.29,0.028,0.005,860,3,630,20,105.3333
25.4,247.65,3,0.41,0.27,0.96,0.019,1.07,0.33,0.24,0.03,0.006,870,3,705,-32,87
19.5,117,6,0.24,0.3,1.31,0.011,1.33,0.32,0.7,0.028,0.004,880,3,620,-20,152.3333
25.4,114.3,3,0.42,0.2,0.95,0.005,1.04,0.24,0.13,0.03,0.005,860,3,705,-32,74.6667
12.5,88.9,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,870,3,720,-45,59.6553
19.5,117,6,0.235,0.3,1.33,0.009,1.31,0.32,0.77,0.026,0.005,880,3,620,-20,140
25.4,247.65,3,0.41,0.27,0.96,0.019,1.07,0.33,0.24,0.03,0.006,870,3,705,23,129.3333
12.7,210,3,0.42,0.24,0.77,0.025,1.07,0.2,0.26,0.031,0.004,850,3,660,20,87.6667
25.4,88.9,3,0.42,0.24,0.93,0.013,1.05,0.23,0.18,0.024,0.005,860,3,705,-32,87.3333
12.5,105,3,0.295,0.24,0.44,0.014,1.98,0.38,1.99,0.023,0.005,860,2,580,-20,107.7333
75,150,6,0.43,0.26,0.8,0.001,1,0.19,0.21,0.023,0.004,870,3,700,-46,78
12.5,160,3,0.44,0.29,0.83,0.021,1.02,0.21,0.21,0.031,0.005,860,2,600,20,52.8
12.5,270,3,0.41,0.2,0.92,0.019,1.12,0.24,0.2,0.021,0.004,870,3,715,-32,60.6667
12.7,240,3,0.42,0.33,0.74,0.028,1.08,0.21,0.19,0.027,0.004,860,3,650,20,74.4
12.7,140,5,0.41,0.22,0.52,0.018,1.16,0.29,1.39,0.035,0.003,850,2,610,20,93
25.4,165,3,0.46,0.25,1.06,0.015,1.09,0.33,0.21,0.025,0.005,870,3,610,23,71.6667
8,16,6,0.46,0.3,0.7,0.028,0.14,0.04,0.12,0.03,0.002,850,2,600,20,56.3333
25.4,311.15,4,0.42,0.29,0.97,0.019,1.11,0.33,0.19,0.031,0.005,860,3,700,23,113.3333
19.5,117,6,0.23,0.34,1.3,0.006,1.34,0.32,0.74,0.035,0.005,880,3,620,-20,120.6667
25.4,215.9,4,0.42,0.3,0.97,0.019,1.11,0.34,0.17,0.019,0.005,860,3,695,-32,74.3333
63.5,127,3,0.42,0.2,0.94,0.006,1.08,0.24,0.13,0.02,0.005,870,3,695,-32,110
12.7,194,3,0.365,0.32,0.63,0.026,1.41,0.2,1.41,0.038,0.005,860,1,570,20,56
12.5,180,4,0.27,0.24,0.83,0.029,1.03,0.15,0.19,0.019,0.006,870,3,620,20,129
25.4,152.4,4,0.42,0.26,0.93,0.008,1.04,0.24,0.19,0.022,0.004,860,3,690,-32,68
12.5,152.4,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,870,3,710,-45,37.5107
19.5,117,6,0.24,0.29,1.32,0.009,1.33,0.31,0.7,0.025,0.004,880,3,620,-20,156
25.4,203.2,3,0.41,0.27,0.95,0.017,1.14,0.33,0.16,0.024,0.005,870,3,705,23,155.6667
25.4,76.2,6,0.395,0.28,0.82,0.013,0.9,0.17,0.17,0.038,0.004,870,2,630,23,116
31.75,127,6,0.315,0.24,0.85,0.003,0.92,0.4,0.82,0.026,0.005,870,2,640,-20,114.6667
19.5,117,6,0.295,0.26,1.67,0.016,0.17,0.03,0.09,0.021,0.058,900,3,640,-20,97.3333
12.7,300,4,0.41,0.3,0.72,0.019,1.13,0.21,0.21,0.028,0.005,860,3,620,20,80.8333
25.4,190.5,3,0.41,0.27,0.93,0.019,1.1,0.35,0.22,0.025,0.006,860,3,710,23,137.3333
45,90,6,0.315,0.22,0.54,0.003,1.06,0.24,0.21,0.024,0.005,900,3,655,-46,75.3333
12.5,130,3,0.41,0.23,0.96,0.013,1.16,0.24,0.2,0.02,0.004,870,3,705,-32,106.6667
25.4,158.75,4,0.42,0.24,0.9,0.02,1.05,0.24,0.19,0.027,0.005,860,3,690,-32,87.6667
25.4,254,4,0.41,0.25,0.97,0.019,1.1,0.31,0.18,0.025,0.005,860,3,700,-32,113
25.4,222.25,3,0.42,0.28,0.97,0.019,1.13,0.31,0.18,0.029,0.004,870,3,705,23,119.6667
25.4,101.6,3,0.42,0.24,0.95,0.018,1.09,0.24,0.18,0.025,0.005,860,3,705,-32,85.6667
25.4,245,4,0.46,0.25,1.05,0.023,1.18,0.32,0.18,0.02,0.007,870,3,600,20,63
12.7,210,4,0.42,0.33,0.74,0.028,1.08,0.21,0.19,0.027,0.004,850,3,630,20,118.6667
12.7,155,3,0.325,0.23,0.54,0.002,1.07,0.24,0.15,0.028,0.005,870,3,660,-32,75.925
12.5,75,3,0.315,0.2,0.53,0.007,1.06,0.23,0.12,0.022,0.005,870,3,680,-32,166.3113
50.8,101.6,3,0.42,0.22,0.96,0.007,1.06,0.24,0.21,0.024,0.005,870,3,700,-32,90.6667
12.7,200,4,0.43,0.28,0.75,0.024,1.08,0.21,0.22,0.026,0.004,860,3,630,20,99.2
12.7,75,3,0.315,0.22,0.54,0.003,1.06,0.24,0.21,0.024,0.005,870,3,700,-32,152.3017
25.4,317.5,4,0.48,0.26,1.11,0.019,1.16,0.34,0.25,0.029,0.004,870,3,620,-32,63.2707
12.5,90,3,0.365,0.34,0.44,0.003,1.77,0.42,4.01,0.025,0.005,875,1,560,23,52
25.4,184.15,3,0.41,0.27,0.93,0.019,1.1,0.35,0.22,0.025,0.006,860,3,710,-32,74.3333
12.5,280,4,0.41,0.27,0.86,0.02,1.07,0.23,0.23,0.023,0.005,860,3,640,20,96
12.5,305,4,0.43,0.26,0.9,0.023,1.16,0.23,0.2,0.024,0.006,870,3,690,-32,61.3333
12.5,190,4,0.42,0.27,0.75,0.021,1.09,0.22,0.19,0.027,0.002,850,3,650,20,110.3333
12.7,220,3,0.42,0.24,0.77,0.025,1.07,0.2,0.26,0.031,0.004,860,3,660,20,116.3333
12.7,250,3,0.42,0.28,0.76,0.024,1.09,0.2,0.24,0.036,0.005,860,3,660,20,114.6667
12.7,140,3,0.35,0.32,0.56,0.02,1.56,0.21,1.52,0.023,0.004,860,2,560,20,82.6667
12.7,130,3,0.42,0.22,0.76,0.026,1.1,0.23,0.27,0.032,0.004,870,2,590,20,107.3333
12.7,300,3,0.42,0.33,0.74,0.028,1.08,0.21,0.19,0.027,0.004,860,3,640,20,68
12.5,230,4,0.42,0.27,0.91,0.015,1.16,0.24,0.17,0.025,0.005,870,3,690,-32,103.3333
12.5,80,4,0.315,0.28,0.54,0.002,1.04,0.23,0.2,0.031,0.004,870,3,640,-32,141.9073
12.7,305,3,0.41,0.24,0.59,0.027,1.23,0.31,1.44,0.03,0.002,850,1,640,20,76.6667
12.7,300,4,0.44,0.25,0.79,0.026,1.12,0.22,0.16,0.024,0.005,860,3,640,20,93
25.4,120.65,3,0.42,0.24,0.96,0.017,1.04,0.23,0.15,0.022,0.005,860,3,705,-32,59.6667
12.7,300,3,0.41,0.24,0.74,0.021,1.13,0.2,0.22,0.023,0.004,860,3,630,20,82.1333
12.7,210,3,0.42,0.28,0.75,0.026,1.12,0.22,0.18,0.025,0.006,850,3,645,20,107.2
12.5,290,4,0.41,0.26,0.79,0.025,1.14,0.22,0.25,0.025,0.004,860,3,630,20,90
12.5,150,6,0.41,0.23,0.78,0.024,1.06,0.18,0.2,0.028,0.005,840,3,650,20,102.6667
25.4,107.95,3,0.42,0.24,0.96,0.018,1,0.23,0.22,0.024,0.004,860,3,705,-32,59.3333
12.5,280,4,0.43,0.26,0.9,0.023,1.16,0.23,0.2,0.024,0.006,870,3,690,-32,64.3333
12.5,139.7,3,0.42,0.19,0.82,0.003,1.04,0.21,0.24,0.025,0.005,870,3,705,-45,57.8473
63.5,127,3,0.42,0.25,0.93,0.004,1.06,0.23,0.21,0.026,0.005,870,3,570,-32,30.6667
12.7,280,3,0.42,0.24,0.6,0.007,1.2,0.28,1.37,0.029,0.004,850,1,620,20,86.6667
12.5,190,2,0.35,0.29,0.67,0.032,1.4,0.18,1.4,0.025,0.005,850,2,560,-20,30
12.5,255,3,0.41,0.26,0.79,0.002,1.01,0.17,0.18,0.03,0.004,860,3,650,20,111.3333
25.4,127,4,0.46,0.25,1.05,0.02,1.09,0.31,0.16,0.025,0.005,870,3,600,20,75
12.7,100,6,0.43,0.25,0.77,0.026,1,0.05,0.17,0.025,0.006,840,2,620,23,29.6667
25.4,100,3,0.46,0.23,1.11,0.019,1.15,0.3,0.2,0.019,0.005,870,3,615,0,78.1843
19.5,117,6,0.245,0.32,1.33,0.011,1.32,0.31,0.69,0.028,0.004,880,3,620,-20,174.6667
12.5,170,4,0.42,0.23,0.72,0.023,1.03,0.2,0.25,0.026,0.005,860,3,650,20,133.3333
12.5,180,3,0.42,0.28,0.75,0.023,1.12,0.21,0.2,0.029,0.005,860,3,680,20,121.3333
63.5,127,3,0.42,0.2,0.94,0.006,1.08,0.24,0.13,0.02,0.005,870,3,705,-32,66.6667
25.4,203.2,4,0.46,0.25,1.08,0.019,1.1,0.31,0.22,0.03,0.005,870,3,610,0,63.7227
12.5,75,3,0.32,0.25,0.52,0.003,1.06,0.23,0.16,0.033,0.005,870,3,690,-32,172.6387
12.5,320,3,0.42,0.22,0.95,0.02,1.17,0.23,0.14,0.022,0.005,870,3,720,-32,44.3333
12.5,170,4,0.42,0.22,0.91,0.023,1.13,0.24,0.23,0.032,0.005,870,3,700,-32,134.3333
19.5,117,6,0.295,0.26,1.71,0.018,0.16,0.03,0.1,0.018,0.055,870,3,640,-20,110.6667
12.5,150,6,0.46,0.22,0.7,0.028,0.15,0.06,0.19,0.026,0.005,840,2,605,20,86
12.7,305,3,0.4,0.23,0.59,0.027,1.19,0.26,1.37,0.023,0.004,850,2,620,20,47.3333
25.4,311.15,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,870,3,700,-32,56.6667
12.7,240,4,0.44,0.31,0.76,0.024,1.07,0.18,0.25,0.027,0.005,860,3,630,20,78.6667
25.4,75,3,0.46,0.23,1.11,0.019,1.15,0.3,0.2,0.019,0.005,870,3,615,0,66.886
17,340,3,0.41,0.26,0.82,0.025,1.01,0.18,0.17,0.035,0.005,870,3,640,-20,37.0667
38.1,76.2,3,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,870,3,590,-32,77.3333
57.15,114.3,3,0.42,0.24,0.93,0.008,1.06,0.24,0.17,0.026,0.005,870,3,700,-32,78
12.5,250,3,0.42,0.27,0.75,0.021,1.09,0.22,0.19,0.027,0.002,860,3,660,20,108
25.4,222.25,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,860,3,710,-32,94
25.8333,155,6,0.3,0.25,1.72,0.021,0.17,0.03,0.08,0.022,0.055,900,3,640,0,144
25.4,120.65,4,0.47,0.32,1.04,0.016,1.11,0.32,0.16,0.031,0.005,870,3,600,23,78.6667
25.4,240,3,0.42,0.26,0.95,0.019,1.1,0.3,0.2,0.025,0.004,870,3,705,23,118.3333
12.7,280,3,0.31,0.25,0.55,0.003,1.06,0.23,0.23,0.038,0.004,870,3,660,-32,76.8287
69.85,139.7,4,0.42,0.27,0.95,0.01,1.07,0.24,0.16,0.023,0.005,870,3,690,-32,63.7227
12.7,240,3,0.33,0.23,0.55,0.006,1.05,0.24,0.12,0.034,0.005,870,3,660,-32,65.5303
12.7,280,3,0.32,0.23,0.53,0.01,1.08,0.24,0.24,0.028,0.003,870,3,660,-32,56.4917
12.7,75,5,0.32,0.22,0.56,0.02,1.06,0.23,0.17,0.023,0.005,870,3,700,-32,145
25.4,101.6,3,0.41,0.25,0.94,0.006,1.05,0.24,0.22,0.028,0.003,860,3,705,-32,92.3333
12.7,132,5,0.365,0.32,0.63,0.026,1.41,0.2,1.41,0.038,0.005,850,1,630,20,94.6667
25.4,254,4,0.42,0.3,0.97,0.019,1.11,0.34,0.17,0.019,0.005,860,3,700,23,117
12.5,230,4,0.41,0.27,0.86,0.02,1.07,0.23,0.23,0.023,0.005,860,3,650,20,98.3333
44.45,88.9,3,0.42,0.19,0.92,0.004,1.08,0.23,0.18,0.022,0.005,870,3,705,-32,111
25.4,180,4,0.46,0.25,1.08,0.019,1.1,0.31,0.22,0.03,0.005,870,3,610,0,65.53
12.5,330,3,0.41,0.3,0.53,0.03,1.18,0.29,1.38,0.034,0.005,850,2,620,20,47
25.8333,155,6,0.3,0.27,1.69,0.023,0.17,0.03,0.09,0.019,0.06,900,3,640,0,68.6667
25.4,222.25,4,0.42,0.24,1.02,0.004,1.13,0.31,0.24,0.025,0.005,870,3,690,23,153.3333
25.4,88.9,3,0.42,0.28,0.92,0.005,1.05,0.25,0.16,0.033,0.005,860,3,715,-32,104.6667
60.325,120.65,3,0.42,0.25,0.93,0.004,1.06,0.23,0.21,0.026,0.005,870,3,570,-32,37.9623
25.4,114.3,3,0.42,0.22,0.94,0.005,1.06,0.24,0.18,0.028,0.004,860,3,705,-32,86
12.5,150,6,0.43,0.28,0.69,0.028,1.09,0.22,0.2,0.036,0.005,840,3,650,20,98
25.4,311.15,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,860,3,700,-32,84.6667
12.5,100,3,0.42,0.24,0.94,0.022,1.14,0.24,0.14,0.021,0.005,870,3,705,-32,143.3333
12.5,300,4,0.42,0.29,0.78,0.024,1.13,0.2,0.2,0.024,0.005,860,3,630,20,58
12.5,320,3,0.43,0.3,0.79,0.027,1.09,0.22,0.16,0.027,0.005,860,3,640,20,80
25.4,139.7,4,0.41,0.25,0.92,0.002,1.07,0.23,0.25,0.025,0.005,860,3,690,-32,80.6667
12.5,25,6,0.155,0.11,0.93,0.001,1.32,0.89,0.14,0.018,0.23,980,2,730,23,142.3333
12.5,255,4,0.42,0.29,0.76,0.003,1.11,0.22,0.2,0.028,0.005,860,3,630,20,100.6667
31.75,127,3,0.32,0.26,0.65,0.021,0.99,0.19,0.21,0.032,0.005,870,3,650,-59,65.5303
12.7,155,3,0.32,0.23,0.52,0.002,1.07,0.24,0.15,0.026,0.004,870,3,660,-32,89.9347
12.5,235,4,0.42,0.24,0.8,0.002,1,0.17,0.17,0.027,0.005,860,3,650,20,128.3333
12.5,115,3,0.43,0.23,0.79,0.0008,1.02,0.19,0.25,0.035,0.005,870,3,590,-20,89.3333
12.7,130,3,0.41,0.24,0.74,0.022,1.12,0.22,0.22,0.025,0.005,860,2,580,20,60.6667
25.4,311.15,3,0.41,0.24,0.96,0.018,1.12,0.32,0.18,0.022,0.004,870,3,700,-32,43.3333
12.7,240,3,0.325,0.23,0.56,0.003,1.07,0.23,0.15,0.026,0.004,880,3,650,-32,73.2133
12.5,125,3,0.325,0.23,0.54,0.002,1.07,0.24,0.15,0.028,0.005,870,3,690,-32,157.2727
66.675,133.35,4,0.42,0.27,0.94,0.008,1.05,0.24,0.24,0.046,0.005,870,3,690,-32,115.3333
25.4,222.25,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,860,3,700,-32,84.6667
12.7,105,5,0.43,0.28,0.75,0.024,1.13,0.23,0.2,0.028,0.004,850,1,610,20,87
12.5,305,4,0.42,0.27,0.92,0.018,1.15,0.23,0.13,0.022,0.004,870,3,690,-32,78.3333
12.5,180,3,0.42,0.26,0.76,0.025,1.09,0.22,0.21,0.033,0.005,860,3,680,-20,72.6667
12.5,340,3,0.41,0.26,0.82,0.025,1.01,0.18,0.17,0.035,0.005,870,3,660,-20,46.6667
12.7,155,5,0.42,0.22,0.55,0.034,1.17,0.26,1.31,0.032,0.004,850,2,620,20,77.3333
50.8,101.6,3,0.42,0.24,0.95,0.007,1.06,0.24,0.21,0.023,0.005,870,3,590,-32,72
25.4,165.1,4,0.43,0.27,0.93,0.022,1.08,0.24,0.23,0.022,0.004,860,3,700,-32,90
12.5,320,3,0.32,0.24,0.56,0.003,1.06,0.23,0.25,0.021,0.005,870,3,660,-32,64.6263
25.4,101.6,3,0.42,0.27,0.95,0.01,1.07,0.24,0.16,0.023,0.005,860,3,705,-32,86
60.325,120.65,3,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,870,3,700,-32,93.55
12.5,200,4,0.42,0.29,0.77,0.023,1.09,0.2,0.21,0.03,0.005,860,3,640,20,92.8
136.525,273.05,3,0.41,0.28,0.92,0.02,1.03,0.23,0.16,0.024,0.002,870,3,530,-45,19.885
25.4,274.638,4,0.46,0.24,1.05,0.019,1.11,0.32,0.12,0.027,0.006,870,3,600,-10,58.7513
12.5,150,4,0.43,0.3,0.75,0.025,1.11,0.21,0.2,0.032,0.005,860,3,620,20,91
12.5,75,6,0.36,0.23,0.44,0.002,1.79,0.44,4.01,0.033,0.003,875,1,555,23,53.6667
25.4,152.4,4,0.46,0.24,1.07,0.017,1.09,0.32,0.25,0.032,0.005,870,3,600,20,70.6667
25.4,365.13,3,0.42,0.26,0.95,0.02,1.14,0.31,0.18,0.029,0.006,870,3,695,-32,46
25.4,114.3,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,860,3,680,-32,86.3333
12.5,260,4,0.42,0.25,0.84,0.022,1.08,0.22,0.23,0.027,0.004,860,3,640,20,95.3333
25.4,114.3,3,0.42,0.22,0.94,0.005,1.06,0.24,0.18,0.028,0.004,860,3,705,-32,86
25.4,177.8,4,0.42,0.24,0.95,0.018,1.09,0.24,0.18,0.025,0.005,860,3,690,-32,63
25.4,127,3,0.42,0.24,0.96,0.017,1.04,0.23,0.15,0.022,0.005,860,3,705,-32,92
63.5,127,4,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,870,3,690,-32,102.589
12.5,50,6,0.42,0.26,0.8,0.001,1.09,0.21,0.23,0.016,0.004,870,3,700,-46,95.3333
12.5,135,4,0.42,0.31,0.75,0.026,1.11,0.21,0.22,0.028,0.005,860,3,630,20,99
25.4,139.7,4,0.42,0.23,0.91,0.016,1.03,0.24,0.23,0.02,0.005,860,3,690,-32,76.3333
12.5,100,3,0.42,0.26,0.74,0.015,1.05,0.16,0.14,0.03,0.005,870,3,580,-20,71.4667
55,110,3,0.42,0.22,0.96,0.007,1.06,0.24,0.21,0.024,0.005,870,3,695,-32,136
12.7,150,6,0.43,0.29,0.74,0.024,1.12,0.21,0.18,0.031,0.004,840,3,650,20,103.6667
25.4,203.2,3,0.41,0.26,0.99,0.017,1.13,0.31,0.16,0.023,0.005,870,3,700,23,137
25.4,254,3,0.42,0.26,0.97,0.019,1.06,0.32,0.22,0.022,0.005,870,3,700,-32,38
12.5,165,4,0.41,0.2,0.9,0.019,1.18,0.23,0.23,0.023,0.005,870,3,700,-32,132
66.675,133.35,4,0.42,0.19,0.92,0.004,1.08,0.23,0.18,0.022,0.005,870,3,550,-32,23
12.5,170,4,0.43,0.26,0.76,0.021,1.1,0.19,0.22,0.023,0.005,860,3,640,20,108.8
