Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
12.5,75,3,0.41,0.27,0.96,0.016,1.16,0.23,0.16,0.028,0.005,870,3,705,-32,145.3333
12.7,150,6,0.43,0.31,0.74,0.024,1.12,0.22,0.17,0.035,0.004,840,3,655,20,109
25.4,177.8,3,0.47,0.26,1.05,0.018,1.1,0.31,0.19,0.023,0.005,860,3,615,23,79
12.5,210,3,0.34,0.22,0.67,0.029,1.53,0.19,1.43,0.03,0.006,860,2,565,-20,35
12.5,140,4,0.42,0.25,0.75,0.025,1.1,0.23,0.23,0.027,0.004,860,3,650,20,108.6667
12.5,200,4,0.28,0.29,0.79,0.023,1.14,0.22,0.17,0.035,0.005,870,3,620,20,164
12.7,76,5,0.32,0.21,0.54,0.006,1.02,0.23,0.18,0.027,0.004,870,3,640,-32,43.6667
12.5,50,6,0.42,0.24,0.75,0.001,0.85,0.25,1.67,0.022,0.003,825,2,505,20,33.6667
47.625,95.25,3,0.42,0.25,0.94,0.005,1.05,0.24,0.19,0.031,0.005,870,3,590,-32,82.2517
12.7,305,3,0.31,0.24,0.53,0.007,1.04,0.24,0.2,0.03,0.005,870,3,660,-32,56.9437
25,100,6,0.315,0.22,0.72,0.012,1.12,0.27,0.22,0.026,0.004,860,3,650,-30,151.3333
12.5,240,4,0.42,0.27,0.79,0.024,1.12,0.23,0.29,0.028,0.005,860,3,640,20,125
12.5,150,6,0.365,0.22,0.72,0.016,0.88,0.22,0.96,0.026,0.005,840,2,580,23,66.6667
25.4,311.15,3,0.41,0.26,0.99,0.017,1.13,0.31,0.16,0.023,0.005,870,3,700,23,97.6667
12.5,50,6,0.42,0.24,0.75,0.001,0.85,0.25,1.67,0.022,0.003,820,2,495,20,29.3333
12.5,280,3,0.315,0.2,0.53,0.007,1.06,0.23,0.12,0.022,0.005,870,3,660,-32,39.3183
12.7,125,5,0.42,0.27,0.58,0.028,1.21,0.25,1.44,0.033,0.004,850,2,660,-20,89
19.5,117,6,0.24,0.3,1.28,0.008,1.27,0.3,0.65,0.025,0.005,880,3,620,-20,136.6667
12.5,125,3,0.42,0.24,0.94,0.018,1.16,0.23,0.16,0.02,0.005,870,3,705,-32,115
25.4,171.45,4,0.43,0.27,0.93,0.022,1.08,0.24,0.23,0.022,0.004,860,3,700,-32,56.6667
25.4,228.6,4,0.41,0.25,0.97,0.019,1.1,0.31,0.18,0.025,0.005,870,3,700,23,132
12.5,155,3,0.325,0.23,0.54,0.002,1.07,0.24,0.15,0.028,0.005,870,3,660,-32,106.2043
25.4,107.95,3,0.41,0.24,0.92,0.019,1.05,0.24,0.16,0.025,0.005,860,3,710,-32,83.3333
25.4,215.9,3,0.41,0.25,0.95,0.02,1.18,0.32,0.17,0.02,0.005,870,3,705,23,122.6667
12.5,280,3,0.31,0.25,0.55,0.003,1.06,0.23,0.23,0.038,0.004,870,3,660,-32,76.8287
12.7,125,3,0.32,0.26,0.53,0.004,1.03,0.23,0.24,0.029,0.005,870,3,680,-32,119.3103
12.5,130,3,0.42,0.25,0.75,0.025,1.1,0.23,0.23,0.027,0.004,860,2,590,20,74.6667
12.5,30,6,0.46,0.28,0.72,0.021,0.16,0.04,0.14,0.023,0.002,840,2,580,20,34.6667
12.5,50,6,0.39,0.32,0.69,0.002,0.8,0.26,1.8,0.03,0.004,820,2,490,20,36.6667
12.5,280,3,0.315,0.2,0.53,0.007,1.06,0.23,0.12,0.022,0.005,870,3,660,-32,65.0783
12.5,230,3,0.42,0.23,0.72,0.023,1.03,0.2,0.25,0.026,0.005,860,3,660,20,102.3333
12.5,140,4,0.44,0.29,0.83,0.021,1.02,0.21,0.21,0.031,0.005,860,2,640,20,96
66.675,133.35,4,0.42,0.2,0.93,0.006,1.05,0.23,0.17,0.026,0.005,870,3,550,-32,37.5107
12.5,95,2,0.32,0.22,0.51,0.002,1.03,0.24,0.14,0.026,0.003,870,3,650,-32,147.33
25.4,177.8,3,0.41,0.25,0.94,0.006,1.05,0.24,0.22,0.028,0.003,860,3,705,-32,66
25.4,177.8,3,0.42,0.21,0.92,0.021,1.05,0.25,0.14,0.027,0.004,860,3,710,23,131.3333
12.5,305,4,0.42,0.24,0.94,0.018,1.16,0.23,0.16,0.02,0.005,870,3,690,-32,100
12.5,320,3,0.41,0.28,0.75,0.025,1.1,0.23,0.23,0.032,0.005,860,3,640,20,97.6
31.75,127,3,0.32,0.26,0.65,0.021,0.99,0.19,0.21,0.032,0.005,870,3,635,-59,54.232
12.5,30,6,0.42,0.28,0.75,0.001,1.11,0.17,0.19,0.029,0.005,840,3,575,20,69
63.5,127,4,0.42,0.19,0.92,0.004,1.08,0.23,0.18,0.022,0.005,870,3,560,-32,37.3333
14.5,29,6,0.385,0.28,0.67,0.016,0.75,0.21,1.7,0.022,0.003,845,2,460,-40,17.625
12.7,320,3,0.325,0.24,0.52,0.006,1.07,0.23,0.22,0.026,0.005,870,3,660,-32,80.4443
25.4,254,3,0.42,0.26,0.97,0.019,1.06,0.32,0.22,0.022,0.005,870,3,700,23,121
25.4,127,4,0.42,0.25,0.94,0.02,1.02,0.23,0.09,0.018,0.005,860,3,690,-32,77
25.4,215.9,4,0.46,0.25,1.11,0.018,1.14,0.32,0.24,0.026,0.005,870,3,615,23,77.6667
57.15,114.3,3,0.42,0.25,0.95,0.003,1.04,0.24,0.24,0.031,0.005,860,3,705,-32,145.0707
25.4,101.6,3,0.42,0.2,0.95,0.005,1.04,0.24,0.13,0.03,0.005,860,3,705,-32,83
12.5,120,4,0.43,0.25,0.77,0.015,1.09,0.17,0.2,0.028,0.005,870,3,620,-20,101.3333
12.5,255,4,0.43,0.26,0.8,0.001,1,0.19,0.21,0.023,0.004,860,3,650,20,69.3333
19.5,117,6,0.24,0.31,1.28,0.01,1.31,0.32,0.69,0.032,0.006,880,3,620,-20,156
17.5,105,6,0.3,0.26,1.68,0.025,0.17,0.03,0.1,0.027,0.057,900,3,640,0,142
12.5,170,4,0.42,0.28,0.74,0.025,1.09,0.21,0.23,0.035,0.005,860,3,650,20,117.6667
12.5,180,4,0.42,0.23,0.72,0.023,1.03,0.2,0.25,0.026,0.005,850,3,650,20,112
25.4,50.8,6,0.31,0.25,0.55,0.015,0.99,0.2,0.17,0.023,0.005,850,3,640,23,138.6667
12.7,140,3,0.27,0.27,0.84,0.028,1.07,0.17,0.18,0.027,0.005,860,3,620,20,137.6667
25.4,76.2,3,0.41,0.23,0.93,0.021,1.05,0.24,0.18,0.029,0.004,860,3,710,-32,142
12.5,139.7,4,0.41,0.25,0.92,0.002,1.07,0.23,0.25,0.025,0.005,870,3,690,-45,90.8387
12.5,133.35,3,0.42,0.19,0.82,0.003,1.04,0.21,0.24,0.025,0.005,870,3,700,-45,68.242
25.4,190.5,4,0.42,0.22,0.9,0.017,1.14,0.31,0.21,0.035,0.004,860,3,690,-32,102.6667
41.275,82.55,3,0.42,0.25,0.95,0.003,1.04,0.24,0.24,0.031,0.005,870,3,705,-32,119.3103
12.5,255,3,0.41,0.25,0.77,0.001,1.05,0.2,0.25,0.035,0.005,860,3,660,20,101.3333
12.7,200,3,0.41,0.24,0.77,0.03,1.09,0.24,0.17,0.028,0.003,860,3,670,20,124.6667
25.4,254,3,0.47,0.23,1.05,0.02,1.06,0.31,0.18,0.028,0.005,860,3,610,23,59.3333
12.5,180,3,0.41,0.2,0.9,0.019,1.18,0.23,0.23,0.023,0.005,860,3,670,-20,115.6667
12.7,305,3,0.31,0.19,0.52,0.008,1.07,0.23,0.13,0.021,0.005,870,3,660,-32,54.684
25.4,235,3,0.315,0.26,0.54,0.002,1.06,0.24,0.16,0.027,0.004,870,3,685,-59,30
25.4,203.2,3,0.42,0.26,0.95,0.019,1.1,0.3,0.2,0.025,0.004,870,3,705,-32,80.3333
12.7,220,3,0.44,0.28,0.74,0.023,1.15,0.19,0.17,0.03,0.005,860,3,645,20,76.8
25.4,88.9,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,860,3,710,-32,99.3333
25.4,101.6,3,0.42,0.28,0.94,0.019,1.04,0.24,0.18,0.025,0.005,860,3,705,-32,118.6667
12.7,300,3,0.42,0.24,0.71,0.022,1.15,0.21,0.21,0.029,0.004,850,3,640,20,57.3333
12.7,127,3,0.41,0.24,0.89,0.006,0.98,0.21,0.19,0.027,0.005,860,3,700,-45,75.9247
12.5,180,3,0.34,0.23,0.7,0.029,1.4,0.16,1.4,0.032,0.004,860,2,575,-20,39
25.4,88.9,3,0.41,0.25,0.93,0.021,1.07,0.23,0.15,0.025,0.004,860,3,710,-32,110
25.4,203.2,4,0.46,0.25,1.05,0.023,1.18,0.32,0.18,0.02,0.007,870,3,605,20,65.6667
12.7,220,4,0.41,0.33,0.75,0.026,1.04,0.16,0.05,0.031,0.004,850,3,630,20,80.6667
12.5,270,4,0.43,0.3,0.84,0.022,1.03,0.21,0.23,0.022,0.004,860,3,650,20,96
12.5,280,3,0.43,0.3,0.79,0.027,1.09,0.22,0.16,0.027,0.005,860,3,670,20,104.6667
25.4,101.6,3,0.42,0.27,0.95,0.01,1.07,0.24,0.16,0.023,0.005,860,3,705,-32,86
12.7,76,5,0.41,0.28,0.59,0.033,1.2,0.26,1.41,0.028,0.005,850,3,640,20,91.3333
25.4,203.2,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,860,3,710,23,141.3333
20.5,123,6,0.225,0.29,1.25,0.016,1.02,0.23,0.71,0.021,0.005,860,3,610,0,157.3333
19.5,117,6,0.235,0.3,1.33,0.009,1.31,0.32,0.77,0.026,0.005,880,3,620,-20,126.6667
25.4,180,4,0.46,0.25,1.08,0.019,1.1,0.31,0.22,0.03,0.005,870,3,600,0,63.723
25.4,241.3,3,0.41,0.24,0.96,0.018,1.12,0.32,0.18,0.022,0.004,870,3,705,23,92
12.5,160,4,0.28,0.29,0.79,0.023,1.14,0.22,0.17,0.035,0.005,870,3,620,20,156.6667
12.5,150,4,0.42,0.26,0.74,0.015,1.05,0.16,0.14,0.03,0.005,870,3,580,-20,61.3333
12.5,120,4,0.27,0.27,0.84,0.026,1.02,0.16,0.18,0.03,0.005,870,3,620,20,146.6667
12.5,139.7,4,0.42,0.24,0.92,0.007,1.07,0.23,0.19,0.023,0.004,870,3,695,-45,61.463
12.5,270,2,0.35,0.3,0.62,0.021,1.58,0.17,1.54,0.028,0.003,850,2,610,20,90.6667
60.325,120.65,3,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,870,3,705,-32,99.4253
8,16,6,0.46,0.24,0.65,0.026,0.13,0.04,0.16,0.03,0.004,840,2,605,20,68.6667
45,90,6,0.31,0.24,0.58,0.004,1,0.23,0.15,0.03,0.005,900,3,670,-46,138.6667
25.4,120.65,3,0.42,0.24,0.9,0.02,1.05,0.24,0.19,0.027,0.005,860,3,700,-32,65
12.5,180,3,0.32,0.24,0.54,0.002,1.03,0.24,0.18,0.034,0.005,870,3,660,-32,60.1073
